author_channel_id,author_handle,author_name,n_comentarios,n_videos_distintos,n_canales_distintos,me_gusta_recibidos,respuestas_recibidas,strength_bipartita,degree_proyeccion_autores,strength_proyeccion_autores,n_comunidades_video_tocadas,comunidades_video_tocadas,videos_comentados,titulos_videos,canales,delta_componentes_al_eliminar,aristas_video_perdidas_al_eliminar,es_puente_verificado,es_recurrente,es_multicanal,es_multicomunidad
UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,@johnmejia992,1,1,1,1,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,@alfredoortega9264,1,1,1,1,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,@maxwellsales885,1,1,1,2,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,@jahirdiaz5862,1,1,1,0,0,1,0,0,1,[10],s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,0,0,False,False,False,False
UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,@LuisCastillo-oz4df,1,1,1,1,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,@lesolorzano,1,1,1,18,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,@ingenieroar,1,1,1,1,0,1,48,48,1,[0],j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,0,0,False,False,False,False
UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,@carmenr6311,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,@luisparedes-pw6qt,1,1,1,0,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,@cesaraugustomoralesmonroy6907,1,1,1,1,0,1,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,False,False,False
