author_channel_id,n_comentarios,n_videos,n_canales,n_me_gusta,n_respuestas_recibidas,author_handle,author_name,len_medio
UCXSkL3ejZ8qWYyF_M7s_QKA,1,1,1,0,0,@JacintaTzoy,@JacintaTzoy,135.0
UCXVLc8CmAO813ubM-fLvCDw,1,1,1,7,0,@herminiasaquimux7565,@herminiasaquimux7565,145.0
UCXgr7vXlRrsaskPdo097kGA,1,1,1,0,0,@Rogergh-nw4oj,@Rogergh-nw4oj,24.0
UCXl30Y_upRqbti52fmjK4YA,1,1,1,0,0,@capitanfrans,@capitanfrans,96.0
UCXmrpc6Li0spcKxtS0Q_ptg,1,1,1,10,0,@melvinperez6710,@melvinperez6710,179.0
UCXr8_5WtGeipe4haOoQDgyQ,1,1,1,0,0,@amyherrera7352,@amyherrera7352,144.0
UCY7Hq7F9Lnucf-Yr6JkHZNw,1,1,1,79,0,@maynorcalel1442,@maynorcalel1442,12.0
UCYN4wSQ1Sx4_LurxLlW7MPg,1,1,1,0,0,@belarminavillatoro6474,@belarminavillatoro6474,902.0
UCYwpX26TrCxq8TvbKGRYLXA,1,1,1,3,0,@beneficioelcaminovillacana8540,@beneficioelcaminovillacana8540,218.0
UCZ51R_9Q9C0c8I3pAWhtmjQ,1,1,1,8,0,@belvettzapeta1251,@belvettzapeta1251,35.0
UCZFQwqh90apuL8eFhvRBkUg,1,1,1,9,0,@luisricardo9671,@luisricardo9671,516.0
UCZIQnb1fkwe39Iw2TAu-bGA,1,1,1,1,0,@jorgegomez2237,@jorgegomez2237,141.0
UCZLG9qH0tUjNhEGFIUt0CYw,1,1,1,1,0,@SoniaMarroquin-y6e,@SoniaMarroquin-y6e,22.0
UCZOmq6MwFDVoCaEl99BRRaw,1,1,1,0,0,@daniloarevalo3170,@daniloarevalo3170,422.0
UCZeIIQrGAedW8tCbKWmGY-A,1,1,1,9,0,@mariocordon8873,@mariocordon8873,117.0
UCZjm6U576nX8WOiLhmMR3bw,1,1,1,3,1,@MariaNavarroYT,@MariaNavarroYT,17.0
UC_3xuTXvMIWU5MYP9HkJ3vQ,1,1,1,4,0,@Historia-wm4os,@Historia-wm4os,61.0
UC_6KbBY1bsYXz9fwFS0eQRg,1,1,1,0,0,@imrcp5694,@imrcp5694,10.0
UC_LYoGs5C3mbZKZuKuqYCvw,1,1,1,7,0,@javiercifuentesarchila6041,@javiercifuentesarchila6041,23.0
UC_NRVt2UP88ZNTwzrZ66JSg,1,1,1,2,0,@aditalissethevasquezrojas8039,@aditalissethevasquezrojas8039,69.0
UC_ljZ1hZXR9pzexFz87P5ZA,1,1,1,0,0,@ChRiStOpHeR7969,@ChRiStOpHeR7969,216.0
UCa36MjQLoPAmgJo-R3G8WQA,1,1,1,3,0,@elsasalguero6914,@elsasalguero6914,41.0
UCaKAjTW9MVub_clgr4DRYjQ,1,1,1,6,0,@josecastillo4390,@josecastillo4390,29.0
UCaT4saRcyqCLE657Rq2hhZQ,1,1,1,0,0,@elmilenial4064,@elmilenial4064,26.0
UCaT6M2zp7X6r6Whd8Vv3kHQ,1,1,1,1,0,@alexarcos8349,@alexarcos8349,68.0
UCat2qkYvqmtDNEmo2PVuhXw,1,1,1,1,0,@DoraSalas-j5o,@DoraSalas-j5o,48.0
